ID,Age,Education,Experience,Income,ZIP Code,Married,Dependents,Credit_Card,Num_Credit_Card,Monthly_CC_Usage,Credit_Score,Self_Employed,Salaried,Loan_Amount,Nationality,Personal_Loan,Securities_Account,CD_Account,Online_Banking,Last_Two_Years_Tax_Return_Filled,Living_Property,Property_Area,Loan_Status,
44,39.00 ,1,15.00 ,45000.00 ,462001,0,1,0,5,7000.00 ,Good,Yes,Yes,100000.00 ,Indian,0,0,0,1,Yes ,Owned,Semi Urban,Approved,
45,46.00 ,1,20.00 ,104000.00 ,462003,1,1,1,5,57000.00 ,Good,Yes,Yes,1000000.00 ,Indian,0,0,0,1,No,Owned,Urban,Approved,
46,57.00 ,1,31.00 ,52000.00 ,462001,1,4,1,5,25000.00 ,Good,Yes,Yes,200000.00 ,Indian,0,0,0,0,Yes ,Owned,Semi Urban,Approved,
47,39.00 ,2,14.00 ,43000.00 ,462007,0,3,0,5,7000.00 ,Standard,Yes,No,100000.00 ,Indian,0,0,0,1,No,Rented,Rural,Reject,
48,37.00 ,3,12.00 ,194000.00 ,462016,1,4,1,5,2000.00 ,Good,No,Yes,1000000.00 ,Indian,1,1,1,1,Yes ,Owned,Urban,Approved,
49,56.00 ,3,26.00 ,81000.00 ,462001,1,2,1,1,45000.00 ,Good,Yes,No,50000.00 ,Indian,0,0,0,0,Yes ,Owned,Urban,Approved,
50,40.00 ,1,16.00 ,49000.00 ,462032,1,1,1,1,18000.00 ,Good,No,Yes,100000.00 ,Indian,0,0,0,0,Yes ,Owned,Urban,Approved,
51,32.00 ,2,8.00 ,8000.00 ,462003,0,4,0,1,7000.00 ,Good,Yes,No,50000.00 ,Indian,0,1,0,1,Yes ,Owned,Urban,Reject,
52,61.00 ,1,37.00 ,131000.00 ,462001,0,1,0,1,29000.00 ,Good,No,No,1000000.00 ,Indian,0,0,0,1,Yes ,Owned,Urban,Approved,
53,30.00 ,1,6.00 ,72000.00 ,462012,0,1,0,1,1000.00 ,Good,No,Yes ,200000.00 ,Indian,0,0,0,0,Yes ,Owned,Semi Urban,Approved,
54,50.00 ,3,26.00 ,190000.00 ,462021,0,3,0,1,21000.00 ,Standard,Yes ,Yes,1000000.00 ,Indian,1,0,0,1,Yes ,Owned,Semi Urban,Approved,
55,29.00 ,3,5.00 ,44000.00 ,462016,0,1,0,1,2000.00 ,Good,Yes,Yes,100000.00 ,Indian,0,0,0,1,Yes ,Rented,Semi Urban,Approved,
56,41.00 ,1,17.00 ,139000.00 ,462013,0,2,0,1,80000.00 ,Good,Yes,Yes,1000000.00 ,Indian,0,0,0,1,No,Owned,Urban,Approved,
57,55.00 ,2,30.00 ,29000.00 ,462003,0,3,0,7,1000.00 ,Poor,Yes,Yes,100000.00 ,Indian,0,1,1,1,Yes ,Rented,Semi Urban,Reject,
58,56.00 ,3,31.00 ,131000.00 ,462018,0,2,0,7,12000.00 ,Poor,Yes,No,1000000.00 ,Indian,1,0,0,0,Yes ,Owned,Rural,Reject,
59,28.00 ,1,2.00 ,93000.00 ,462004,0,2,0,7,2000.00 ,Poor,No,Yes,50000.00 ,Indian,0,0,0,0,Yes ,Owned,Urban,Reject,
60,31.00 ,1,5.00 ,188000.00 ,462001,0,2,0,7,45000.00 ,Poor,Yes,No,1000000.00 ,Indian,0,0,0,0,No,Owned,Urban,Reject,
61,49.00 ,2,24.00 ,39000.00 ,462026,0,3,0,7,17000.00 ,Standard,No,No,100000.00 ,Indian,0,1,0,1,Yes ,Rented,Urban,Approved,
62,47.00 ,1,21.00 ,125000.00 ,462010,0,1,0,7,57000.00 ,Standard,No,Yes ,1000000.00 ,Indian,0,1,0,0,Yes ,Owned,Urban,Approved,
63,42.00 ,1,18.00 ,22000.00 ,462010,0,1,0,7,10000.00 ,Standard,Yes ,Yes,50000.00 ,Indian,0,0,0,0,Yes ,Owned,Urban,Approved,
64,42.00 ,2,17.00 ,32000.00 ,462011,0,4,0,7,0.00 ,Poor,Yes,Yes,100000.00 ,Indian,0,0,0,1,No,Owned,Semi Urban,Reject,
65,47.00 ,1,23.00 ,105000.00 ,462021,0,2,0,5,33000.00 ,Good,Yes,Yes,1000000.00 ,Indian,0,0,0,0,Yes ,Rented,Semi Urban,Approved,
66,59.00 ,1,35.00 ,131000.00 ,462003,1,1,1,5,38000.00 ,Good,Yes,Yes,1000000.00 ,Indian,0,0,0,1,Yes ,Owned,Semi Urban,Approved,
67,62.00 ,1,36.00 ,105000.00 ,462023,0,2,0,5,28000.00 ,Good,Yes,No,1000000.00 ,Indian,0,0,0,0,Yes ,Owned,Urban,Approved,
68,53.00 ,3,23.00 ,45000.00 ,462026,0,4,0,5,20000.00 ,Good,No,Yes,100000.00 ,Indian,0,1,0,0,No,Owned,Semi Urban,Approved,
69,47.00 ,1,21.00 ,60000.00 ,462006,1,3,1,5,21000.00 ,Standard,Yes,No,200000.00 ,Indian,0,0,0,1,Yes ,Owned,Rural,Reject,
70,53.00 ,1,29.00 ,20000.00 ,462004,0,4,0,5,2000.00 ,Good,No,Yes,50000.00 ,Indian,0,0,0,1,Yes ,Owned,Urban,Approved,
71,42.00 ,1,18.00 ,115000.00 ,462026,1,1,1,5,35000.00 ,Good,Yes,No,1000000.00 ,Indian,0,0,0,0,Yes ,Owned,Urban,Approved,
72,53.00 ,2,29.00 ,69000.00 ,462002,0,4,0,5,10000.00 ,Standard,No,No,200000.00 ,Indian,0,0,0,1,No,Owned,Urban,Reject,
73,44.00 ,1,20.00 ,130000.00 ,480111,1,1,1,5,50000.00 ,Good,No,Yes ,1000000.00 ,Indian,0,0,0,0,Yes ,Rented,Urban,Approved,
74,41.00 ,3,16.00 ,85000.00 ,483775,1,1,1,6,40000.00 ,Good,Yes ,Yes,50000.00 ,Indian,0,0,0,1,No,Owned,Urban,Approved,
75,28.00 ,1,3.00 ,135000.00 ,456331,1,2,1,6,33000.00 ,Good,Yes,Yes,1000000.00 ,Indian,0,0,0,0,Yes ,Rented,Semi Urban,Approved,
76,31.00 ,2,7.00 ,135000.00 ,486226,1,4,1,6,38000.00 ,Good,Yes,Yes,1000000.00 ,Indian,1,0,1,1,Yes ,Owned,Semi Urban,Approved,
77,58.00 ,3,32.00 ,12000.00 ,480110,0,3,0,6,3000.00 ,Good,Yes,Yes,50000.00 ,Indian,0,0,0,0,Yes ,Owned,Semi Urban,Reject,
78,46.00 ,2,20.00 ,29000.00 ,480447,0,3,0,6,5000.00 ,Good,Yes,No,100000.00 ,Indian,0,0,0,0,Yes ,Owned,Urban,Approved,
79,54.00 ,3,30.00 ,133000.00 ,480115,0,2,0,6,26000.00 ,Good,No,Yes,1000000.00 ,Indian,1,0,0,0,Yes ,Rented,Semi Urban,Approved,
80,50.00 ,1,26.00 ,19000.00 ,480116,0,2,0,6,4000.00 ,Good,Yes,No,50000.00 ,Indian,0,0,0,1,Yes ,Owned,Rural,Reject,
81,60.00 ,1,36.00 ,41000.00 ,480116,1,4,1,5,13000.00 ,Standard,No,No,100000.00 ,Indian,0,0,0,1,Yes ,Owned,Urban,Approved,
82,47.00 ,2,22.00 ,40000.00 ,480001,0,3,0,5,27000.00 ,Standard,No,Yes ,100000.00 ,Indian,0,0,0,1,Yes ,Owned,Urban,Approved,
83,41.00 ,3,16.00 ,82000.00 ,480002,0,1,0,5,40000.00 ,Standard,Yes ,Yes,50000.00 ,Indian,0,0,0,1,No,Rented,Urban,Approved,
84,33.00 ,2,9.00 ,50000.00 ,480001,0,1,0,5,24000.00 ,Standard,Yes,Yes,200000.00 ,Indian,0,0,0,0,Yes ,Owned,Urban,Approved,
85,46.00 ,3,22.00 ,18000.00 ,480002,0,1,0,5,9000.00 ,Standard,Yes,Yes,50000.00 ,Indian,0,0,0,1,Yes ,Owned,Urban,Reject,
86,27.00 ,3,2.00 ,109000.00 ,480002,0,4,0,5,18000.00 ,Standard,Yes,Yes,1000000.00 ,Indian,0,0,0,0,Yes ,Owned,Semi Urban,Approved,
87,40.00 ,2,16.00 ,42000.00 ,480002,0,4,0,5,22000.00 ,Standard,Yes,No,100000.00 ,Indian,0,0,0,0,No,Owned,Semi Urban,Reject,
88,48.00 ,1,22.00 ,78000.00 ,474001,0,3,0,5,11000.00 ,Standard,No,Yes,50000.00 ,Indian,0,0,0,1,Yes ,Owned,Semi Urban,Approved,
89,65.00 ,1,41.00 ,51000.00 ,453652,0,2,0,6,11000.00 ,Standard,Yes,No,200000.00 ,Indian,0,0,0,1,Yes ,Owned,Urban,Reject,
90,25.00 ,3,(1.00),113000.00 ,474005,1,4,1,6,23000.00 ,Good,No,Yes,1000000.00 ,Indian,0,0,0,0,Yes ,Owned,Semi Urban,Reject,
91,55.00 ,2,30.00 ,118000.00 ,474001,0,4,0,6,56000.00 ,Standard,Yes,No,1000000.00 ,Indian,1,0,0,1,No,Rented,Rural,Reject,
92,35.00 ,3,10.00 ,29000.00 ,480443,0,4,0,6,11000.00 ,Standard,No,No,100000.00 ,Indian,0,0,0,1,Yes ,Owned,Urban,Approved,
93,43.00 ,2,19.00 ,34000.00 ,486341,0,3,0,6,6000.00 ,Good,No,Yes ,100000.00 ,Indian,0,0,0,0,Yes ,Rented,Urban,Approved,
94,60.00 ,3,34.00 ,64000.00 ,480001,0,2,0,6,17000.00 ,Good,Yes ,Yes,200000.00 ,Indian,0,1,0,1,Yes ,Owned,Urban,Approved,
95,65.00 ,1,39.00 ,121000.00 ,480001,0,1,0,6,20000.00 ,Good,Yes,Yes,1000000.00 ,Indian,0,0,0,0,No,Owned,Urban,Approved,
96,38.00 ,3,12.00 ,48000.00 ,480001,0,4,0,6,2000.00 ,Good,Yes,Yes,100000.00 ,Indian,0,0,0,1,Yes ,Owned,Urban,Approved,
97,41.00 ,1,15.00 ,80000.00 ,480001,0,1,0,4,52000.00 ,Standard,Yes,Yes,50000.00 ,Indian,0,0,0,0,Yes ,Rented,Semi Urban,Approved,
98,54.00 ,1,28.00 ,161000.00 ,486333,0,1,0,4,29000.00 ,Standard,Yes,No,1000000.00 ,Indian,0,0,0,1,Yes ,Owned,Semi Urban,Approved,
99,49.00 ,1,23.00 ,94000.00 ,456450,0,1,0,4,3000.00 ,Standard,No,Yes,50000.00 ,Indian,0,0,0,1,No,Owned,Semi Urban,Approved,
100,66.00 ,3,41.00 ,15000.00 ,480553,0,3,0,4,1000.00 ,Standard,Yes,No,50000.00 ,Indian,0,0,0,1,Yes ,Owned,Urban,Reject,
101,48.00 ,1,23.00 ,74000.00 ,480449,0,1,0,4,12000.00 ,Standard,No,No,200000.00 ,Indian,0,0,0,1,No,Rented,Semi Urban,Reject,
102,61.00 ,2,36.00 ,30000.00 ,453235,0,3,0,4,13000.00 ,Standard,No,Yes ,100000.00 ,Indian,0,0,0,0,Yes ,Owned,Rural,Reject,
103,53.00 ,3,23.00 ,44000.00 ,486113,1,3,1,4,10000.00 ,Standard,Yes ,Yes,100000.00 ,Indian,0,0,0,1,Yes ,Owned,Urban,Approved,
104,43.00 ,2,18.00 ,22000.00 ,464221,0,2,0,4,3000.00 ,Standard,Yes,Yes,50000.00 ,Indian,0,0,0,1,Yes ,Owned,Urban,Approved,
105,56.00 ,1,32.00 ,38000.00 ,464221,1,4,1,5,13000.00 ,Poor,Yes,Yes,100000.00 ,Indian,0,0,0,1,Yes ,Owned,Urban,Reject,
106,24.00 ,2,0.00 ,35000.00 ,464221,0,3,0,5,1000.00 ,Poor,Yes,Yes,100000.00 ,Indian,0,1,0,1,Yes ,Owned,Urban,Reject,
107,43.00 ,1,17.00 ,69000.00 ,486115,1,4,1,5,29000.00 ,Poor,Yes,No,200000.00 ,Indian,0,0,0,1,Yes ,Owned,Urban,Reject,
108,42.00 ,1,18.00 ,43000.00 ,453220,0,1,0,5,7000.00 ,Poor,No,Yes,100000.00 ,Indian,0,0,0,0,Yes ,Owned,Semi Urban,Reject,
109,33.00 ,3,7.00 ,32000.00 ,456550,0,1,0,5,6000.00 ,Poor,Yes,No,100000.00 ,Indian,0,0,0,1,Yes ,Rented,Semi Urban,Reject,
110,43.00 ,1,17.00 ,49000.00 ,483222,0,1,0,5,28000.00 ,Poor,No,Yes,100000.00 ,Indian,0,0,0,1,No,Owned,Semi Urban,Reject,
111,41.00 ,2,14.00 ,9000.00 ,464220,0,3,0,5,10000.00 ,Poor,Yes,No,50000.00 ,Indian,0,0,0,0,Yes ,Rented,Urban,Reject,
112,62.00 ,2,38.00 ,45000.00 ,474040,0,4,0,5,13000.00 ,Poor,No,No,100000.00 ,Indian,0,0,0,1,Yes ,Owned,Semi Urban,Reject,
113,40.00 ,1,15.00 ,82000.00 ,474042,0,3,0,7,10000.00 ,Standard,No,Yes ,50000.00 ,Indian,0,0,0,0,Yes ,Owned,Rural,Reject,
114,58.00 ,1,34.00 ,92000.00 ,474055,0,2,0,7,28000.00 ,Standard,Yes ,Yes,50000.00 ,Indian,0,0,0,0,No,Owned,Urban,Approved,
115,39.00 ,3,14.00 ,39000.00 ,474001,0,3,0,7,5000.00 ,Standard,Yes,Yes,100000.00 ,Indian,0,0,0,1,Yes ,Rented,Urban,Approved,
116,65.00 ,2,40.00 ,81000.00 ,474004,0,3,0,7,18000.00 ,Standard,Yes,Yes,50000.00 ,Indian,0,0,0,1,Yes ,Owned,Urban,Approved,
117,54.00 ,2,29.00 ,35000.00 ,474003,0,1,0,7,15000.00 ,Standard,Yes,Yes,100000.00 ,Indian,0,0,0,1,Yes ,Owned,Urban,Approved,
118,58.00 ,3,33.00 ,61000.00 ,474008,0,2,0,7,23000.00 ,Standard,Yes,No,200000.00 ,Indian,0,0,0,1,No,Owned,Urban,Reject,
119,41.00 ,1,16.00 ,73000.00 ,474009,0,3,0,7,30000.00 ,Standard,No,Yes,200000.00 ,Indian,0,0,0,1,Yes ,Rented,Semi Urban,Approved,
120,32.00 ,1,7.00 ,112000.00 ,474020,0,1,0,7,46000.00 ,Standard,Yes,No,1000000.00 ,Indian,0,0,0,0,Yes ,Owned,Semi Urban,Approved,
121,54.00 ,3,29.00 ,12000.00 ,474006,0,2,0,6,2000.00 ,Standard,No,No,50000.00 ,Indian,0,0,0,1,Yes ,Owned,Semi Urban,Reject,
122,52.00 ,3,26.00 ,38000.00 ,474010,0,3,0,6,9000.00 ,Standard,No,Yes ,100000.00 ,Indian,0,0,0,1,No,Owned,Urban,Approved,
123,58.00 ,2,32.00 ,73000.00 ,474007,1,2,1,6,7000.00 ,Standard,Yes ,Yes,200000.00 ,Indian,0,0,0,1,Yes ,Owned,Semi Urban,Approved,
124,37.00 ,2,13.00 ,84000.00 ,474002,0,1,0,6,36000.00 ,Standard,Yes,Yes,50000.00 ,Indian,0,1,0,0,Yes ,Owned,Rural,Reject,
125,39.00 ,1,15.00 ,78000.00 ,474005,0,4,0,6,24000.00 ,Standard,Yes,Yes,50000.00 ,Indian,0,0,0,1,Yes ,Owned,Urban,Approved,
126,60.00 ,1,35.00 ,80000.00 ,464331,0,3,0,6,5000.00 ,Standard,Yes,Yes,50000.00 ,Indian,0,0,0,1,No,Owned,Urban,Approved,
127,31.00 ,1,5.00 ,115000.00 ,480224,1,2,1,6,13000.00 ,Standard,Yes,No,1000000.00 ,Indian,0,0,0,1,Yes ,Rented,Urban,Approved,
128,34.00 ,2,8.00 ,82000.00 ,453463,0,1,0,6,27000.00 ,Standard,No,Yes,50000.00 ,Indian,0,0,0,1,No,Owned,Urban,Approved,
129,38.00 ,1,14.00 ,74000.00 ,474003,0,2,0,7,0.00 ,Standard,Yes,No,200000.00 ,Indian,0,1,0,1,Yes ,Rented,Urban,Approved,
130,41.00 ,3,16.00 ,70000.00 ,452056,1,3,1,7,5000.00 ,Standard,No,Yes,200000.00 ,Indian,0,0,0,0,Yes ,Owned,Semi Urban,Approved,
131,28.00 ,1,4.00 ,81000.00 ,452001,0,3,0,7,15000.00 ,Standard,Yes,No,50000.00 ,Indian,0,0,0,1,Yes ,Owned,Semi Urban,Approved,
132,58.00 ,2,34.00 ,149000.00 ,452001,1,4,1,7,72000.00 ,Poor,No,No,1000000.00 ,Indian,1,0,1,1,Yes ,Owned,Semi Urban,Reject,
133,31.00 ,3,1.00 ,51000.00 ,452006,0,2,0,7,17500.00 ,Poor,No,Yes ,200000.00 ,Indian,0,0,0,0,Yes ,Rented,Urban,Reject,
134,30.00 ,2,4.00 ,39000.00 ,452001,0,3,0,7,11000.00 ,Poor,Yes ,Yes,100000.00 ,Indian,0,0,0,1,Yes ,Owned,Semi Urban,Reject,
135,53.00 ,2,29.00 ,98000.00 ,452006,0,3,0,7,18000.00 ,Poor,Yes,Yes,50000.00 ,Indian,0,0,0,0,Yes ,Owned,Rural,Reject,
136,58.00 ,1,33.00 ,45000.00 ,452006,1,4,1,7,21000.00 ,Poor,Yes,Yes,100000.00 ,Indian,0,0,0,1,Yes ,Owned,Urban,Reject,
137,59.00 ,2,32.00 ,49000.00 ,452005,0,4,0,7,25000.00 ,Standard,Yes,Yes,100000.00 ,Indian,0,0,0,1,No,Rented,Urban,Approved,
138,49.00 ,1,25.00 ,128000.00 ,452005,0,2,0,7,4000.00 ,Standard,Yes,No,1000000.00 ,Indian,0,0,0,0,Yes ,Owned,Urban,Approved,
139,59.00 ,1,34.00 ,42000.00 ,452001,1,3,1,7,15000.00 ,Standard,No,Yes,100000.00 ,Indian,0,1,1,0,Yes ,Owned,Urban,Approved,
140,59.00 ,3,35.00 ,18000.00 ,452002,0,1,0,7,12000.00 ,Standard,Yes,No,50000.00 ,Indian,0,0,0,1,Yes ,Owned,Urban,Reject,
141,51.00 ,3,25.00 ,31000.00 ,452002,1,2,1,7,4000.00 ,Standard,No,No,100000.00 ,Indian,0,0,0,1,No,Owned,Semi Urban,Reject,
142,35.00 ,1,11.00 ,58000.00 ,452002,1,3,1,7,20000.00 ,Standard,No,Yes ,200000.00 ,Indian,0,0,0,1,Yes ,Owned,Semi Urban,Approved,
143,33.00 ,3,9.00 ,48000.00 ,452001,1,1,1,7,21000.00 ,Standard,Yes ,Yes,100000.00 ,Indian,0,0,0,0,Yes ,Owned,Semi Urban,Approved,
144,25.00 ,1,1.00 ,54000.00 ,452002,1,4,1,7,16000.00 ,Standard,Yes,Yes,200000.00 ,Indian,0,0,0,1,Yes ,Owned,Urban,Approved,
145,49.00 ,2,23.00 ,70000.00 ,452002,0,2,0,6,15000.00 ,Standard,Yes,Yes,200000.00 ,Indian,0,0,0,0,No,Rented,Semi Urban,Approved,
146,59.00 ,1,35.00 ,124000.00 ,452001,1,1,1,6,74000.00 ,Standard,Yes,Yes,1000000.00 ,Indian,0,0,0,0,Yes ,Owned,Rural,Reject,
147,46.00 ,2,19.00 ,84000.00 ,452001,1,1,1,6,26700.00 ,Standard,Yes,No,50000.00 ,Indian,0,0,0,1,Yes ,Rented,Urban,Approved,
148,50.00 ,3,25.00 ,83000.00 ,452001,0,4,0,6,36000.00 ,Good,No,Yes,50000.00 ,Indian,0,0,0,1,Yes ,Owned,Urban,Approved,
149,52.00 ,1,28.00 ,163000.00 ,452020,0,2,0,6,4000.00 ,Good,Yes,No,1000000.00 ,Indian,0,0,0,1,No,Owned,Urban,Reject,
150,48.00 ,2,22.00 ,42000.00 ,452002,0,3,0,6,22000.00 ,Good,No,Yes,100000.00 ,Indian,0,0,0,0,Yes ,Owned,Urban,Reject,
151,46.00 ,1,22.00 ,118000.00 ,452002,1,2,1,6,75000.00 ,Standard,Yes,No,1000000.00 ,Indian,0,0,1,1,Yes ,Rented,Urban,Approved,
152,26.00 ,3,0.00 ,132000.00 ,452002,1,3,1,6,65000.00 ,Good,No,No,1000000.00 ,Indian,1,0,0,0,Yes ,Owned,Semi Urban,Approved,
153,57.00 ,1,32.00 ,24000.00 ,452002,1,1,1,7,13000.00 ,Poor,No,Yes ,50000.00 ,Indian,0,0,0,1,No,Owned,Semi Urban,Reject,
